Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6086817756287674368,201.42288479836,-46.50468734992,-5.389,-2.07,19.570728,20.009914,19.03592
6086817760586707712,201.41586989445,-46.50615381753,-0.58,0.177,20.63206,20.798252,20.127348
6086817790647436032,201.43491078794,-46.4990427218,-8.307,-0.677,18.42556,18.809702,17.896969
6086817790647434368,201.439084864,-46.49793394747,-5.552,-0.158,19.101097,19.565334,18.485193
6086817790647446144,201.44512934306,-46.49453591942,-3.021,-7.35,18.545443,18.84699,18.100523
6086817790647437568,201.43253196852,-46.4971376732,-3.283,-6.661,19.463377,19.766064,18.974504
6086817790647433856,201.42487470625,-46.49858623694,-5.21,-11.472,17.736998,18.238237,17.104776
6086817794948734464,201.4348525506,-46.4975639676,-6.666,-0.433,17.499968,17.857782,16.993134
6086817790647445120,201.4353180807,-46.49468326803,-2.472,-1.779,18.741966,19.258905,18.105387
6086817790647458176,201.44000848215,-46.4909066009,-8.71,0.778,19.623247,20.487015,18.68537
6086817794946455424,201.4381100433,-46.49013578304,-5.145,-5.072,20.78265,21.512854,19.527277
6086817794947150080,201.44080410783,-46.48644762524,,,20.993317,21.508158,20.05159
6086817829306180992,201.40741268157,-46.50733198959,-6.402,1.865,20.42962,21.016087,19.647146
6086817825007153664,201.4069930283,-46.50412496069,-4.56,-2.07,18.18013,18.547655,17.547699
6086817825007152512,201.40430795715,-46.50426864733,-12.275,2.689,19.337282,20.123936,18.443804
6086817829308472192,201.41870403222,-46.49977682419,6.75,-6.488,15.902568,16.391676,15.262815
6086817829306186880,201.41737935537,-46.49894469499,,,20.854214,20.995378,20.049047
6086817829308473856,201.41917858518,-46.49341268042,1.009,-0.336,16.90134,17.23902,16.395319
6086817829308472064,201.40486893194,-46.50041918019,0.525,-7.747,13.910196,14.253926,13.40273
6086817829306183936,201.4068883868,-46.49875162176,-5.804,-3.556,20.487307,21.464478,19.390984
6086817829306183168,201.40514558032,-46.4989585649,,,20.829395,21.127583,19.765724
6086817829308472960,201.40820189775,-46.49686462334,-35.258,1.898,14.087317,14.503827,13.508739
6086817829306184064,201.40537822301,-46.49711425242,-7.982,-2.651,20.62782,21.07603,19.725657
6086817825007185280,201.41647107437,-46.49332690255,-5.621,1.322,20.016003,20.544357,19.490103
6086817859366930304,201.43145239537,-46.49202709767,-12.298,2.46,18.396805,19.941923,17.197006
6086817859366932096,201.43025376111,-46.49124271604,-3.405,-0.082,20.239605,20.624,19.734629
6086817863665927680,201.42211078672,-46.4925240138,-0.66,-0.136,20.386433,20.75311,19.709867
6086817863668213632,201.43670329219,-46.48558597877,-8.518,-6.102,17.268713,17.649818,16.729921
6086817863668213248,201.429332028,-46.485797748,-16.809,-4.772,16.882938,17.476652,16.135654
6086817863665928704,201.42380390192,-46.48908318619,-8.421,3.322,20.713573,21.425419,19.72456
6086817859366947200,201.42362817763,-46.48699990633,-9.129,-1.591,19.290432,19.788061,18.601719
6086817863668214016,201.42740088523,-46.48332229868,-3.716,-3.865,14.01897,14.353408,13.5217
6086817859366967936,201.42198998719,-46.48305546321,-3.284,-5.024,18.712479,19.257929,17.977274
6086817863668215296,201.4333879168,-46.47950596236,-9.053,-2.966,17.779459,18.240849,17.174934
6086817859366978304,201.42988674723,-46.48018511381,-9.81,-6.58,17.662737,18.075157,17.08503
6086817863665932672,201.42738330425,-46.479076492,,,20.843859,20.958725,19.626574
6086817859366978176,201.42923929483,-46.47818777851,-5.948,-3.537,16.546135,16.95157,15.975809
6086817893726673152,201.45499049175,-46.49130917772,-6.36,0.506,18.159868,18.786028,17.271164
6086817893726668032,201.44730998484,-46.49276000158,-4.82,0.974,17.74629,18.232803,17.114237
6086817893726016000,201.45110404854,-46.49029121106,-5.778,-0.18,20.07107,20.617588,19.641623
6086817898028292224,201.45206284703,-46.48725468314,-18.503,1.109,14.529839,14.901918,13.993316
6086817893726694272,201.46408998162,-46.48526185969,-3.969,-1.224,19.482672,19.825094,19.025263
6086817898022569088,201.46062400236,-46.48498459802,-4.831,-2.385,19.892769,20.369572,19.356703
6086817898025682048,201.46029734463,-46.48593202713,-7.245,3.249,20.834578,21.28225,20.066982
6086817898027951872,201.46191186302,-46.48608084123,-8.843,-0.704,17.319818,17.703266,16.781254
6086817893726694528,201.45446172646,-46.48515582579,-11.077,1.557,18.93712,19.592348,18.222897
