Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6083478402037531264,201.4551027237,-47.93554668675,-3.568,-6.737,19.325493,19.746286,18.822575
6083478406345857408,201.4645704121,-47.92728491584,-2.845,-6.367,19.9373,20.542116,19.356737
6083478440708560384,201.48310045745,-47.92407033864,-3.391,-8.055,20.481457,,
6083478436403400064,201.483129247,-47.92363007321,-2.841,-6.615,18.360199,18.659052,17.833902
6083478440705598464,201.4757485428,-47.92104973246,-3.691,-6.294,18.589502,18.909657,18.093397
6083478440705598976,201.48333087997,-47.91935888929,-3.167,-6.778,18.095715,18.414799,17.608976
6083478440705599872,201.47970543565,-47.91789631292,-3.413,-7.396,19.799585,20.279621,19.208038
6083478470757037184,201.44503438379,-47.92764531739,-2.543,-6.909,20.78891,21.143396,19.988127
6083478470757042048,201.44568708988,-47.92598583855,-3.087,-7.494,19.145557,19.581419,18.701195
6083478475049531904,201.45757317209,-47.91709577738,-3.804,-6.458,19.323307,19.756207,18.813694
6083478470757073408,201.45181899986,-47.91699310016,-3.081,-7.098,18.992525,19.378815,18.47454
6083478470757079040,201.45069870165,-47.91492625949,-3.368,-6.21,18.448763,18.848476,17.936872
6083478509425079680,201.46715196785,-47.91026385205,-2.637,-6.972,18.333057,18.656904,17.86698
6083478509425080448,201.46487240436,-47.90832960091,-3.244,-6.451,19.937616,20.439083,19.45395
6083478509425080960,201.46309922342,-47.90743217898,-3.475,-6.28,18.581564,18.932455,18.103296
6083478539476484608,201.49999665854,-47.9365094311,-3.598,-6.46,19.852345,20.509409,19.230259
6083478539476499200,201.49974214988,-47.93264524738,-3.197,-6.863,19.735334,20.110775,19.236958
6083478539476507520,201.50241961451,-47.93094810906,-2.789,-6.796,16.931454,17.355219,16.355656
6083478543784811520,201.51529402036,-47.92609566902,-3.056,-6.303,17.879324,18.212475,17.404129
6083478539476521856,201.50678698674,-47.92620302325,-3.602,-5.642,19.816418,20.445452,19.064888
6083478573836294016,201.52916346485,-47.91639604346,-3.272,-6.817,19.122578,19.470827,18.628803
6083478608195998720,201.49552552159,-47.9262564821,-3.3,-6.468,18.631145,19.027987,18.157883
6083478608196016640,201.50350313801,-47.92087666477,-3.261,-5.756,18.562847,19.158892,17.84565
6083478612488483840,201.50235298488,-47.92144994487,-2.711,-6.765,18.371744,18.749523,17.821415
6083478608196019712,201.50716662386,-47.91979442222,-2.761,-6.549,19.688112,20.083014,19.215742
6083478608196033536,201.50917545612,-47.91599572829,-3.661,-6.947,19.15194,19.479902,18.61585
6083478608202122368,201.49716913804,-47.91589090337,-3.823,-6.98,17.757444,18.067446,17.179155
6083478646866991360,201.5246348543,-47.91303757741,-3.39,-6.538,18.777346,19.139313,18.263592
6083478642561918976,201.52395855149,-47.91136921409,-3.489,-6.283,19.752075,20.156443,19.161396
6083478642555800192,201.52430838095,-47.90843911089,-3.46,-6.853,18.53808,18.8625,17.996754
6083478646864157568,201.50932706977,-47.91200962183,-3.774,-6.841,20.164515,20.756079,19.622696
6083478642555801216,201.51939281054,-47.90799485566,-3.041,-7.147,19.146852,19.506973,18.66395
6083478711275298560,201.55743111712,-47.9028014784,-3.71,-6.158,18.419535,18.850405,17.89944
